plotid,altitude,aspect,slope,svf,topo,rock_r,r_in_s
310494,3540,140,7,1,1,100,0
088136,3403,285,25,1,1,45,50
290052,3511,130,60,0.97,1,80,85
110117,3659,20,20,0.98,1,20,40
310492,3550,310,7,1,1,100,0
300063,3445,270,15,0.97,1,50,50
081037,3591,20,30,0.99,3,10,100
310501,3470,130,35,0.98,1,100,0
093151,3415,10,70,0.99,1,0,100
290044,3346,255,20,0.95,1,90,90
300275,3402,320,48,1,1,60,80
200268,3549,20,22,0.99,2,15,1
020473,3206,240,14,0.95,2,2,10
320038,3460,90,45,0.99,1,1,1
200106,3633,12,32,1,2,5,10
088137,3322,350,40,1,1,12,15
270011,3300,60,10,0.98,3,2,50
310499,3582,50,23,1,2,100,0
320048,3500,145,13,0.99,1,1,1
200271,3501,280,35,0.97,2,30,1
320039,3520,160,20,0.99,1,1,1
320040,3510,220,35,0.99,1,1,1
200108,3755,80,32,0.98,2,50,80
320047,3480,248,25,1,1,1,1
020445,3319,210,32,0.98,2,5,15
110115,3780,0,15,0.99,1,5,40
310306,3669,120,5,1,2,100,0
020466,3388,30,14,0.98,1,0,10
200107,3798,200,33,0.98,2,40,85
310496,3540,60,39,1,2,100,0
081019,3566,270,70,1,1,20,100
110113,3800,180,10,0.89,1,5,30
081038,3885,80,20,1,3,10,100
088057,3406,310,10,0.98,1,0,100
270038,3750,160,5,0.98,2,5,60
110499,3385,260,45,1,2,30,50
270039,3535,150,25,0.99,1,5,5
081042,3704,120,45,0.97,1,20,100
200105,3444,125,20,1,3,1,0
200073,3690,65,40,1,2,30,40
200075,3652,77,38,1,3,30,30
081039,3561,80,30,0.99,2,10,50
270010,3636,1,5,0.98,1,10,85
200081,3685,138,30,0.89,1,5,0
310331,3563,160,14,0.96,1,20,0
310510,3170,140,2,0.98,5,5,0
200266,3387,330,33,0.99,2,1,1
310299,3530,90,21,0.96,1,5,0
290022,3410,150,30,1,2,30,40
081063,3299,270,15,0.98,1,0,0
110312,3293,0,40,0.98,2,5,10
320044,3430,300,25,0.99,2,1,0
110431,3340,80,40,0.99,1,10,40
200273,3302,320,32,0.94,2,20,0
310308,3517,95,34,1,2,95,0
020448,3150,220,22,0.96,1,10,10
110310,3407,0,60,0.99,2,25,10
081050,3138,0,40,0.98,3,50,100
320481,3295,320,75,0.97,2,30,70
081059,3204,280,30,1,1,10,0
110426,3130,80,20,0.98,1,40,80
270043,3315,200,50,0.98,1,10,25
310307,3668,90,29,1,1,85,0
310497,3460,350,15,1,2,100,0
310313,3403,8,43,1,2,10,0
200104,3591,154,27,1,2,0,30
200265,3355,320,42,1,2,20,1
110502,3237,320,25,0.95,2,10,5
200079,3346,155,43,0.99,5,25,3
250056,3442,150,23,0.95,2,0,0
250079,3207,260,37,0.99,2,5,2
250055,3422,140,30,0.95,2,40,0
200103,3516,140,32,0.98,5,40,80
081045,3320,350,20,1,3,10,90
310368,3096,30,20,0.99,1,30,10
310303,3470,220,29,1,3,60,0
300178,3373,70,25,0.98,1,8,50
110116,3340,90,15,0.94,2,10,30
081060,3228,20,30,0.96,1,5,1
081057,3059,270,25,0.96,1,5,0
273042,3351,70,35,1,1,0,1
081044,3418,40,5,1,3,20,50
081046,3298,0,15,1,3,10,40
020447,3254,140,20,0.96,1,20,20
081035,3257,30,25,0.99,3,0,50
250057,3476,140,20,0.96,2,15,0
290170,3121,60,30,0.99,2,0,70
300055,3080,90,35,0.98,2,5,10
081056,3060,310,40,0.96,1,60,1
300004,3029,90,25,0.99,2,10,3
310328,3350,10,23,1,5,40,0
273044,3250,330,28,0.99,1,0,1
200110,3306,115,38,0.98,2,5,5
270036,3503,110,25,0.98,2,65,5
110438,2940,60,20,1,2,0,20
110037,3121,220,20,1,1,0,0
110315,3170,320,30,0.98,4,0,2
110503,3185,280,45,1,5,5,30
020446,3260,160,25,1,1,0,5
110491,3390,340,65,1,1,40,40
200109,3459,150,38,0.97,2,5,20
300180,3232,110,23,0.94,1,5,50
070468,3325,330,24,0.99,1,15,40
110488,3270,20,80,0.96,2,5,50
310300,3090,340,32,0.95,1,60,0
320045,3320,260,10,0.99,2,1,0
290172,3120,150,30,0.99,2,5,65
250063,3182,20,42,0.99,2,3,0
300003,3079,180,18,0.99,2,0,1
300191,3228,300,44,1,2,50,80
273041,3392,200,19,0.99,1,15,3
110497,3280,240,45,0.99,4,1,1
110316,3201,220,10,0.99,1,0,5
110122,2971,79,10,0.98,3,0,0
270072,3011,10,80,0.94,1,70,20
020465,3074,320,22,0.98,2,1,10
300126,2900,240,5,0.99,2,0,3
200284,2981,300,33,0.99,2,2,1
