plotid,species,cover
310494,Yushania niitakayamensis,58
310494,Rhododendron pseudochrysanthum,1
310494,Oxalis acetocella s. griffithii,1
310494,Chrysosplenium lanuginosum v. formosan,1
310494,Festuca ovina,8
310494,Gaultheria itoana,1
310494,Gentiana arisanensis,1
310494,Juniperus squamata,25
310494,Lonicera kawakamii,1
310494,Smilacina japonica,1
310494,Veratrum formosanum,1
310494,Berberis morrisonensis,1
310494,Cirsium kawakamii,1
310494,Lycopodium veitchii,1
310494,Pimpinella niitakayamensis,1
310494,Platanthera brevicalcarata,1
310494,Potentilla leuconota,1
310494,Spiraea morrisonicola,1
310494,Solidago virgaurea v. leiocarpa,1
310494,Luzula taiwaniana,1
310494,Viola adenothrix,1
310494,Anaphalis nepalensis,1
310494,Geranium hayatanum,1
310494,Phleum alpinum,1
310494,Potentilla tugitakensis,1
310494,Artemisia oligocarpa,1
310494,Aster takasagomontanus,1
310494,Scabiosa lacerifolia,1
310494,Dianthus pygmaeus,1
310494,Rosa sericea v. morrisonensis,1
310494,Adenophora morrisonensis s. uehatae,1
310494,Euphrasia nankotaizanensis,1
310494,Brachypodium kawakamii,1
310494,Helictotrichon abietetorum,1
310494,Veronica morrisonicola,1
310494,Gentiana scabrida,1
310494,Ranunculus formosamontanus,1
310494,Carex brachyathera,1
310494,Artemisia kawakamii,1
310494,Rubus pungens v. oldhamii,1
310494,Gentiana scabrida v. punctulata,1
310494,Agropyron mayebaranum,1
310494,Anthoxanthum horsfieldii v. formosanum,1
310494,Picris hieracioides s. ohwiana,1
310494,Epilobium nankotaizanense,1
088136,Yushania niitakayamensis,27
088136,Rhododendron pseudochrysanthum,4
088136,Senecio nemorensis v. dentatus,1
088136,Asplenium trichomanes,1
088136,Viola adenothrix v. tsugitakaensis,1
088136,Sedum actinocarpum,1
088136,Deschampsia flexuosa,8
088136,Festuca ovina,2
088136,Gaultheria itoana,3
088136,Gentiana arisanensis,2
088136,Juniperus squamata,40
088136,Lonicera kawakamii,1
088136,Listera morrisonicola,1
088136,Carex breviculmis,1
088136,Trisetum spicatum v. formosanum,1
088136,Berberis morrisonensis,2
088136,Lycopodium veitchii,1
088136,Picris hieracioides s. morrisonensis,1
088136,Platanthera brevicalcarata,1
088136,Potentilla leuconota,1
088136,Spiraea morrisonicola,1
088136,Solidago virgaurea v. leiocarpa,1
088136,Polystichum morii,1
088136,Luzula taiwaniana,1
088136,Athyrium reflexipinnum,1
088136,Festuca rubra,1
088136,Deschampsia cespitosa v. festucifolia,1
088136,Anaphalis nepalensis,1
088136,Leontopodium microphyllum,2
088136,Agropyron formosanum,1
088136,Cryptogramma brunoniana,1
088136,Veronica morrisonicola,1
088136,Cirsium arisanense,1
088136,Agrostis infirma v. arisanmontana,1
088136,Carex brachyathera,1
088136,Amitostigma alpestre,1
088136,Artemisia morrisonensis,1
088136,Bromus formosanus,1
088136,Dryopteris alpestris,4
088136,Euphrasia transmorrisonensis v. duriet,1
290052,Juniperus squamata,95
290052,Sedum morrisonense,1
290052,Berberis morrisonensis,2
290052,Rosa sericea v. morrisonensis,1
110117,Rhododendron pseudochrysanthum,79
110117,Gaultheria itoana,1
110117,Gentiana arisanensis,1
110117,Juniperus squamata,18
110117,Swertia macrosperma,1
110117,Berberis morrisonensis,1
110117,Cirsium kawakamii,1
110117,Potentilla leuconota,2
110117,Luzula taiwaniana,1
110117,Geranium hayatanum,1
110117,Veronica morrisonicola,1
110117,Lycopodium selago v. appressum,1
310492,Galium echinocarpum,1
310492,Oxalis acetocella s. griffithii,1
310492,Ainsliaea latifolia s. henryi,1
310492,Chrysosplenium lanuginosum v. formosan,1
310492,Festuca ovina,44
310492,Gaultheria itoana,1
310492,Gentiana arisanensis,1
310492,Juniperus squamata,45
310492,Lonicera kawakamii,1
310492,Primula miyabeana,1
310492,Oreomyrrhis involucrata,1
310492,Veratrum formosanum,1
310492,Berberis morrisonensis,2
310492,Cirsium kawakamii,1
310492,Lycopodium veitchii,1
310492,Platanthera brevicalcarata,1
310492,Potentilla leuconota,1
310492,Solidago virgaurea v. leiocarpa,1
310492,Luzula taiwaniana,1
310492,Anaphalis nepalensis,3
310492,Angelica morrisonicola,1
310492,Phleum alpinum,1
310492,Potentilla tugitakensis,1
310492,Scabiosa lacerifolia,1
310492,Dianthus pygmaeus,1
310492,Rosa sericea v. morrisonensis,1
310492,Veronica morrisonicola,1
310492,Galium formosense,1
310492,Carex brachyathera,1
310492,Rubus pungens v. oldhamii,1
310492,Ponerorchis kiraishiensis,1
310492,Anthoxanthum horsfieldii v. formosanum,1
310492,Picris hieracioides s. ohwiana,1
300063,Yushania niitakayamensis,1
300063,Rhododendron pseudochrysanthum,2
300063,Juniperus squamata,69
300063,Arabis lyrata s. kamtschatica,2
300063,Lonicera kawakamii,4
300063,Berberis morrisonensis,14
300063,Geranium hayatanum,1
300063,Rosa sericea v. morrisonensis,6
300063,Thalictrum urbaini,1
300063,Rubus pungens v. oldhamii,2
081037,Rhododendron pseudochrysanthum,37
081037,Deschampsia flexuosa,1
081037,Gaultheria itoana,1
081037,Juniperus squamata,37
081037,Arabis lyrata s. kamtschatica,1
081037,Lonicera kawakamii,1
081037,Oreomyrrhis involucrata,1
081037,Agrostis infirma,1
081037,Trisetum spicatum v. formosanum,1
081037,Berberis morrisonensis,1
081037,Rosa taiwanensis,23
081037,Luzula taiwaniana,1
081037,Polygala japonica,1
081037,Sorbus randaiensis,1
